fch_confirmado;id_region;txt_nombreregion;cant_poblacion;cant_casosconfirmados;cant_casosconfirmadosss;cant_casosconfirmadoscs;cant_pcr;cant_uci;cant_fallecidos;cant_casosconfirmadosdiario;cant_ultimoscasosactivosinformados;cant_ultimoscasosrecuperadosinformados;porc_cfr;porc_crr;porc_positividad;porc_roslmp;porc_deroslmp;porc_roefectivo;porc_deroefectivo;cant_pcrrealizados;txt_semanaepidemiologica;fch_inicio;fch_fin;num_cluster;num_meanrcori;num_tasaconfirmadosch;porc_meanpositiverate;txt_cuarentenaactiva;cant_poblacioncomunacuarentena;fch_iniciocuarentena;fch_fincuarentena;porc_movilidadparques;porc_movilidadresidencias;porc_movilidadretailrecreacion;porc_movilidadtransitoestaciones;porc_movilidadtrabajo;num_clustermod2;cant_cupostotales;cant_usuariosenresidencia;cant_residencias;num_coefpcrmodfull;num_coefwaldpcrmodfull;num_r2pcrmodfull;num_aicpcrmodfull;num_coefpcrmodintervalo;num_coefwaldpcrmodintervalo;num_r2pcrmodintervalo;num_aicpcrmodintervalo;num_betaweiss;num_roweiss;num_refectivocrespo;num_rcori;num_stdrcori;num_betaedo;num_gammaedo;num_robetaedo;num_refectivo;num_gdm20;num_rogm20;num_gdgm20;num_roggm20
2020-03-03;0;00. Nacional;19458310;1;0;0;0;0;0;0;0;0;0,0;0,0;0,0;;;;;0;;;;;;;;Sin Cuarentena;0;;;-14;0;4;3;12;;0;0;0;;;;;;;;;;;;;;;;;;;;;
2020-03-04;0;00. Nacional;19458310;3;0;2;0;0;0;2;0;0;0,0;0,0;0,0;;;;;0;;;;;;;;Sin Cuarentena;0;;;-16;0;1;5;14;;0;0;0;;;;;;;;;0,0;0,0;9,3333333333;0,0;0,0;2,0000001028;0;77,1428157986;0,0;0,0;0,0;0,0;0,0
2020-03-05;0;00. Nacional;19458310;4;0;1;0;0;0;1;0;0;0,0;0,0;0,0;;;;;0;;;;;;;;Sin Cuarentena;0;;;-15;0;-1;5;15;;0;0;0;;;;;;;;;0,0;0,0;3,5;0,0;0,0;0,3333333847;0;12,8571372879;0,0;0,0;0,0;0,0;0,0
2020-03-06;0;00. Nacional;19458310;5;0;1;0;0;0;1;0;0;0,0;0,0;0,0;;;;;0;;;;;;;;Sin Cuarentena;0;;;-12;0;1;4;16;;0;0;0;;;;;;;;;0,0;0,0;2,8;0,0;0,0;0,2500000514;0;9,6428534615;0,0;0,0;0,0;0,0;0,0
2020-03-07;0;00. Nacional;19458310;7;0;2;0;0;0;2;0;0;0,0;0,0;0,0;;;;;0;;;;;;;;Sin Cuarentena;0;;;-20;3;7;2;3;;0;0;0;;;;;;;;;0,0;0,0;4,0;0,0;0,0;0,4000001028;0;15,4285663313;0,0;0,0;0,0;0,0;0,0
2020-03-08;0;00. Nacional;19458310;10;0;3;0;0;0;3;0;0;0,0;0,0;0,0;;;;;0;SE11;2020-03-08;2020-03-14;;;;;Sin Cuarentena;0;;;-8;5;5;12;-1;;0;0;0;;;;;;;;;0,0;0,0;4,2;0,0;0,0;0,4285715827;0;16,5306084827;0,0;0,7458333333;7,6610042365;0,6265765617;6,4360299803
2020-03-09;0;00. Nacional;19458310;15;0;5;0;0;0;5;0;0;0,0;0,0;0,0;;;;;0;SE11;2020-03-08;2020-03-14;;;;;Sin Cuarentena;0;;;-13;0;-3;5;16;;0;0;0;;;;;;;;;0,0;0,0;4,6666666667;0,0;0,0;0,500000257;0;19,2857128698;0,0;0,3529761905;3,6256787807;0,3512001548;3,6074358085
2020-03-10;0;00. Nacional;19458310;17;0;2;0;0;0;2;0;0;0,0;0,0;0,0;;;;;0;SE11;2020-03-08;2020-03-14;;;;;Sin Cuarentena;0;;;-17;-2;-3;7;17;;0;0;0;;;;;;;;;0,0;0,0;1,6470588235;9,2692787892;2,2481303248;0,1333334361;0;5,1428580868;0,0;0,3946428571;4,0536678442;0,3915788419;4,0221950834
2020-03-11;0;00. Nacional;19458310;23;0;6;0;0;0;6;0;0;0,0;0,0;0,0;;;;;0;SE11;2020-03-08;2020-03-14;;;;;Sin Cuarentena;0;;;-19;0;-8;6;16;;0;0;0;;;;;;;;;0,0;0,0;3,652173913;7,405978468;1,6161169964;0,3529414848;0;13,613449276;0,0;0,3654761905;3,7540754998;0,3579060687;3,676317196
2020-03-12;0;00. Nacional;19458310;33;0;10;0;0;0;10;0;0;0,0;0,0;0,0;;;;;0;SE11;2020-03-08;2020-03-14;;;;;Cuarentena Activa;572;2020-03-12;2020-03-27;-21;-1;-7;5;17;;0;0;0;;;;;;;;;0,0;0,0;4,2424242424;7,1020900542;1,2966583094;0,4347831226;0;16,7701963083;0,0;0,3537114846;3,6332315289;0,3463483704;3,5575995521
